key,Num_Appele,Libelle_Num,Description_Num_App,Entite,Motif_Defaut_Num_App,Groupe_Urgence,Action_Num_App,Nom_Action_Num_App
0000000018,0969791773,,SUC_AGENCE_MAR_Sans_Menu,DAMO_SUCCESSIONS,SUC_AGENCE_MAR,,ACCUEIL,SUC_AGENCE_MAR_Acc
0000000019,0969791774,,SUC_AGENCE_ROU_Sans_Menu,DAMO_SUCCESSIONS,SUC_AGENCE_ROU,,ACCUEIL,SUC_AGENCE_ROU_Acc
0000000020,0969791772,,SUC_AGENCE_CLE_Sans_Menu,DAMO_SUCCESSIONS,SUC_AGENCE_CLE,,ACCUEIL,SUC_AGENCE_CLE_Acc
0000000021,0969790001,,SUC_ACTIVITE_CLE_Sans_Menu,DAMO_SUCCESSIONS,SUC_ACTIVITE_ROU,,ACCUEIL,SUC_ACTIVITE_ROU_Acc
0000000022,0969790002,,SUC_ACTIVITE_MAR_Sans_Menu,DAMO_SUCCESSIONS,SUC_ACTIVITE_CLE,,ACCUEIL,SUC_ACTIVITE_CLE_Acc
0000000023,0969790003,,SUC_ACTIVITE_ROU_Sans_Menu,DAMO_SUCCESSIONS,SUC_ACTIVITE_MAR,,ACCUEIL,SUC_ACTIVITE_MAR_Acc
0000000024,0969329671,,MAJPRO_SVI,DAMO_MAJPRO,MAJPRO_SVI,,ACCUEIL,MAJPRO_Acc
0000000025,0969326079,,MOPRO_SRC_SVI,DAD,MOPRO_SRC_SVI,,ACCUEIL,MOPRO_SRC_Acc
0000000026,0969328249,,MOPRO_SEP_SVI,DAD,MOPRO_SEP_SVI,,ACCUEIL,MOPRO_SEP_Acc
0000000027,0969363908,,MOPRO_SRC_DOM_SVI,DAD,MOPRO_SRC_DOM_SVI,,ACCUEIL,MOPRO_SRC_DOM_Acc
0000000028,0969363911,,MOPRO_FRONT_DOM_SVI,DAD,MOPRO_FRONT_DOM_SVI,,ACCUEIL,MOPRO_FRONT_DOM_Acc
0000000029,0810757677,,MOPRO_ASS_BEL_SVI,DAD,MOPRO_ASS_BEL_SVI,,ACCUEIL,MOPRO_ASS_BEL_Acc
0000000030,0969393600,,SBA_SVI,DECQ,SBA_SVI,,ACCUEIL,SBA_Acc
0000000031,0153683515,,DOP_SEC_SVI,DOP,DOP_SEC_SVI,,ACCUEIL,DOP_SEC_Acc
0000000033,0969367020,,DOP_CARTES_PREPAYEES_Sans_Menu,DOP,DOP_CARTES_PREPAYEES,,ACCUEIL,DOP_CARTES_PREPAYEES_Acc
0000000034,0825048047,,DOP_ACCUEIL_SVI,DOP,DOP_ACCUEIL,,ACCUEIL,DOP_ACCUEIL_Acc
0000000035,0555444931,,PPTF_INTERNE_Sans_Menu,DCONF,PPTF_INTERNE,,ACCUEIL,PPTF_INTERNE_Acc
0000000036,0555444195,,PPTF_EXTERNE_Sans_Menu,DCONF,PPTF_EXTERNE,,ACCUEIL,PPTF_EXTERNE_Acc
0000000037,0555444928,,PPTF_BP_Sans_Menu,DCONF,PPTF_BP,,ACCUEIL,PPTF_BP_Acc
0000000038,0238645116,,OJ_DROIT_DE_COM_Sans_Menu,DATAE_OJ,OJ_DROIT_DE_COM,,ACCUEIL,OJ_DROIT_DE_COM_Acc
0000000039,0969361799,,OJ_REQUISITIONS_Sans_Menu,DATAE_OJ,OJ_REQUISITIONS,,ACCUEIL,OJ_REQUISITIONS_Acc
0000000040,0969321916,,OJ_SAISIES_HUISSIERS_Sans_Menu,DATAE_OJ,OJ_SAISIES_HUISSIERS,,ACCUEIL,OJ_SAISIES_HUISSIERS_Acc
0000000041,0000000000,,OJ_PENSIONS_ALIMENTAIRES_Sans_Menu,DATAE_OJ,OJ_PENSIONS_ALIMENTAIRES,,ACCUEIL,OJ_PENSIONS_ALIMENTAIRES_Acc
0000000042,0555425580,,VM_SRPVM_TCC_Sans_Menu,DATAE_VALMOB,VM_SRPVM_TCC,,ACCUEIL,VM_SRPVM_TCC_Acc
0000000043,0555425592,,VM_ SRPVM_RTOR_Sans_Menu,DATAE_VALMOB,VM_ SRPVM_RTOR,,ACCUEIL,VM_ SRPVM_RTOR_Acc
0000000044,0969320022,,VM_SC_BOURSE_Sans_Menu,DATAE_VALMOB,VM_SC_BOURSE,,ACCUEIL,VM_SC_BOURSE_Acc
0000000045,0969369246,,VM_RAPPEL_CLIENT_Sans_Menu,DATAE_VALMOB,VM_RAPPEL_CLIENT,,ACCUEIL,VM_RAPPEL_CLIENT_Acc
0000000046,a valider avec le metier,,VM_CELLULE_FISCALE_Sans_Menu,DATAE_VALMOB,VM_CELLULE_FISCALE,,ACCUEIL,VM_CELLULE_FISCALE_Acc
0000000047,0145453639,,DSRC_TEC_3639_INT_Sans_Menu,DSRC,DSRC_3639_INT,,ACCUEIL,DSRC_3639_INT_Acc
0000000048,0969399970,,DSRC_LOI_ECKERT_Sans_Menu,DSRC,DSRC_LOI_ECKERT,,ACCUEIL,DSRC_LOI_ECKERT_Acc
0000000049,0969320033,,DSRC_LOUVRE_BP_Sans_Menu,DSRC,DSRC_LOUVRE_BP,,ACCUEIL,DSRC_LOUVRE_BP_Acc
0000000050,0969369492,,DSRC_EER_Sans_Menu,DSRC,DSRC_EER,,ACCUEIL,DSRC_EER_Acc
0000000051,0969399998,,DSRC_SAV_LBP_SVI,DSRC,DSRC_SAV_LBP_SVI,,ACCUEIL,DSRC_SAV_LBP_Acc
0000000052,nr tech,,DSRC_ENTRAIDE_RESEAU_PAT,DSRC,DSRC_ENTRAIDE_RESEAU_PAT,,ACCUEIL,DSRC_ENTRAIDE_RESEAU_PAT_Acc
0000000053,0969371466,,DSRC_SANTE_VENTE_3_Sans_Menu,DSRC,DSRC_SANTE_VENTE_3,,ACCUEIL,DSRC_SANTE_VENTE_3_Acc
0000000054,0948190010,,DSRC_CAMP_OPPO_Sans_Menu,DSRC,DSRC_CAMP_OPPO,,ACCUEIL,DSRC_CAMP_OPPO_Acc
0000000055,0969369492,,DSRC_EER_Sans_Menu,DSRC,DSRC_EER,,ACCUEIL,DSRC_EER_Acc
0000000056,0969323202,,DSRC_CNP_ASSUVIE50_SVI,DSRC,DSRC_CNP_ASSUVIE50,,ACCUEIL,DSRC_CNP_ASSUVIE50_Acc
0000000057,0969364819 ,,DSRC_CNP_ASSUVIE_SVI,DSRC,DSRC_CNP_ASSUVIE,,ACCUEIL,DSRC_CNP_ASSUVIE_Acc
0000000058, 0969371344,,DSRC_CNP_RDV_SVI,DSRC,DSRC_CNP_RDV,,ACCUEIL,DSRC_CNP_RDV_Acc
0000000059,0969325889,,DSRC_CNP_EDITIQUE_SVI,DSRC,DSRC_CNP_EDITIQUE,,ACCUEIL,DSRC_CNP_EDITIQUE_Acc
0000000060,nr tech,,DSRC_APP_SELFARE_DIGIT,DSRC,DSRC_APP_SELFCARE,,ACCUEIL,DSRC_APP_SELFCARE_Acc
0000000061,0969368186,,DAC_AERAS_Sans_Menu,DAMO_DAC,DAC_AERAS,,ACCUEIL,DAC_AERAS_Acc
0000000062,0238647219,,DAC_SVP_Sans_Menu,DAMO_DAC,DAC_SVP,,ACCUEIL,DAC_SVP_Acc
0000000063,0969324987,,DAC_ADE_CLIENTS_Sans_Menu,DAMO_DAC,DAC_ADE_CLIENTS,,ACCUEIL,DAC_ADE_CLIENTS_Acc
0000000064,0969320162,,BEDL_MONA_Sans_Menu,BEDL,BEDL_MONA,,ACCUEIL,BEDL_MONA_Acc
0000000065,0969368800,,PMO_BEDL_DFL_Sans_Menu,BEDL,BEDL_DFL,,ACCUEIL,BEDL_DFL_Acc
0000000066,0549626928,,CREA_TEKEMEL_Sans_Menu,DATAE_CREA,CREA_TEKEMEL,,ACCUEIL,CREA_TEKEMEL_Acc
0000000067,0549626933,,CREA_SERALYS_SINISTRE_Sans_Menu,DATAE_CREA,CRA_SERALYS_SINISTRE,,ACCUEIL,CRA_SERALYS_SINISTRE_Acc
0000000068,0549629080,,CREA_RECLAMATION_Sans_Menu,DATAE_CREA,CREA_RECLAMATION,,ACCUEIL,CREA_RECLAMATION_Acc
0000000069,0549629036,,CREA_PARTAGES_Sans_Menu,DATAE_CREA,CREA_PARTAGES,,ACCUEIL,CREA_PARTAGES_Acc
0000000070,0549626968,,CREA_ADESIO_SINISTRE_Sans_Menu,DATAE_CREA,CREA_ADESIO_SINISTRE,,ACCUEIL,CREA_ADESIO_SINISTRE_Acc
0000000071,0969328402,,CREA_SVP_BPE_Sans_Menu,DATAE_CREA,CREA_SVP_BPE,,ACCUEIL,CREA_SVP_BPE_Acc
0000000072,0555425017,,DOP_LITIGES_DAB_GAB_Sans_Menu,DOP,DOP_LITIGES_DAB_GAB,,ACCUEIL,DOP_LITIGES_DAB_GAB_Acc
0000000073,0969369491,,DOP__LPR_DepannageCash_Sans_Menu,DOP,DOP__LPR_DepannageCash,,ACCUEIL,DOP__LPR_DepannageCash_Acc
0000000074,0555385555 ,,DOP_clients_Benefcheqbanque_Sans_Menu,DOP,DOP_clients_Benefcheqbanque,,ACCUEIL,DOP_clients_Benefcheqbanque_Acc
0000000075,0825048047 ,,BEDL_MOP_SVI,BEDL,BEDL_MOP_SVI,,ACCUEIL,MOP_SVI_Acc
0000000076,0555425258,,BEDL_MOP_VIP_FLUX_Sans_Menu,BEDL,BEDL_MOP_VIP_FLUX_Sans_Menu,,ACCUEIL,BEDL_MOP_VIP_FLUX_Acc
0000000077,0555425287,,BEDL_MOP_EZYNESS_Sans_Menu,BEDL,BEDL_MOP_EZYNESS_Sans_Menu,,ACCUEIL,BEDL_MOP_EZYNESS_Acc
0000000078,0555425466,,BEDL_MOP_SMF_SSE_Sans_Menu,BEDL,BEDL_MOP_SMF_SSE_Sans_Menu,,ACCUEIL,BEDL_MOP_SMF_SSE_Acc
0000000079,0555425036,,BEDL_MOP_COMMERCIAUX_SVI,BEDL,BEDL_MOP_COMMERCIAUX_SVI,,ACCUEIL,BEDL_MOP_COMMERCIAUX_Acc
